epoch,train_loss,train_acc,val_loss,val_acc,lr
0,4.723079204559326,0.011488250456750393,4.746482849121094,0.007607114966958761,0.001
50,3.793344020843506,0.1057441234588623,5.855934143066406,0.00022373867977876216,0.001
100,1.2724971771240234,0.7819843292236328,9.32802677154541,0.0017899094382300973,0.001
150,0.02721482329070568,1.0,13.916215896606445,0.018122833222150803,0.001
200,0.020858516916632652,1.0,13.285233497619629,0.025282470509409904,0.001
250,0.01882563717663288,1.0,12.681035995483398,0.032442107796669006,0.001
300,0.016385797411203384,1.0,12.238500595092773,0.0409441776573658,0.001
350,0.014377513900399208,1.0,11.860261917114258,0.04944624751806259,0.001
400,0.012738251127302647,1.0,11.514131546020508,0.059850096702575684,0.001
450,0.011369658634066582,1.0,11.181947708129883,0.07461684942245483,0.001
500,0.010225017555058002,1.0,10.858030319213867,0.0886005163192749,0.001
550,0.00925358198583126,1.0,10.537425994873047,0.10258418321609497,0.001
600,0.00842214748263359,1.0,10.219861030578613,0.11925271898508072,0.001
650,0.007700442802160978,1.0,9.899157524108887,0.13536189496517181,0.001
700,0.00706285797059536,1.0,9.577428817749023,0.1514710932970047,0.001
750,0.006501080933958292,1.0,9.25274658203125,0.1675802767276764,0.001
800,0.0060143619775772095,1.0,8.933760643005371,0.18424880504608154,0.001
850,0.005583290010690689,1.0,8.624147415161133,0.20170041918754578,0.001
900,0.00518984068185091,1.0,8.325701713562012,0.2161315679550171,0.001
950,0.004844944458454847,1.0,8.038375854492188,0.23089832067489624,0.001
1000,0.004532232880592346,1.0,7.768706798553467,0.2428683340549469,0.001
1050,0.004242619965225458,1.0,7.5095720291137695,0.25170600414276123,0.001
1100,0.003975463565438986,1.0,7.2585954666137695,0.26155051589012146,0.001
1150,0.0037264900747686625,1.0,7.008344650268555,0.27027633786201477,0.001
1200,0.0034883408807218075,1.0,6.7513298988342285,0.27743595838546753,0.001
1250,0.003261140314862132,1.0,6.480370998382568,0.28336504101753235,0.001
1300,0.0030529967043548822,1.0,6.195151329040527,0.2894059717655182,0.001
1350,0.0028547688852995634,1.0,5.89094352722168,0.2963418960571289,0.001
1400,0.002667504595592618,1.0,5.5639848709106445,0.3021591007709503,0.001
1450,0.0024995661806315184,1.0,5.220459938049316,0.3075288236141205,0.001
1500,0.0023415933828800917,1.0,4.865381240844727,0.316030889749527,0.001
1550,0.002194787608459592,1.0,4.499740123748779,0.32621100544929504,0.001
1600,0.002060818951576948,1.0,4.132343292236328,0.3373979330062866,0.001
1650,0.0019393065012991428,1.0,3.7744061946868896,0.3541783392429352,0.001
1700,0.001826419378630817,1.0,3.426259994506836,0.37297236919403076,0.001
1750,0.0017208214849233627,1.0,3.0923733711242676,0.3934444785118103,0.001
1800,0.0016173348994925618,1.0,2.7734317779541016,0.42241862416267395,0.001
1850,0.0015192325226962566,1.0,2.466182231903076,0.45307081937789917,0.001
1900,0.00141984224319458,1.0,2.164296865463257,0.4875265955924988,0.001
1950,0.0013206370640546083,1.0,1.8686293363571167,0.531491219997406,0.001
2000,0.001222627586685121,1.0,1.5798404216766357,0.5816087126731873,0.001
2050,0.0011222215835005045,1.0,1.2969192266464233,0.6360890865325928,0.001
2100,0.0010179762030020356,1.0,1.0190106630325317,0.6921356320381165,0.001
2150,0.0009226712863892317,1.0,0.7617744207382202,0.7575791478157043,0.001
2200,0.0008359943167306483,1.0,0.5403499007225037,0.8179886341094971,0.001
2250,0.0007663650903850794,1.0,0.367573082447052,0.8787336945533752,0.001
2300,0.0007101199007593095,1.0,0.2435658723115921,0.9216914772987366,0.001
2350,0.0006639468483626842,1.0,0.1596929430961609,0.9530149102210999,0.001
2400,0.0006267462158575654,1.0,0.10570826381444931,0.973375141620636,0.001
2450,0.0005938641843385994,1.0,0.07172797620296478,0.9834433794021606,0.001
2500,0.0005654033157043159,1.0,0.0501919649541378,0.9894843101501465,0.001
2550,0.0005387665005400777,1.0,0.03615827113389969,0.9938471913337708,0.001
2600,0.0005132482037879527,1.0,0.02663847990334034,0.9958608746528625,0.001
2650,0.0004895273596048355,1.0,0.020058434456586838,0.996755838394165,0.001
2700,0.0004676810058299452,1.0,0.015416445210576057,0.9977626204490662,0.001
2750,0.0004470009298529476,1.0,0.012096809223294258,0.9985457062721252,0.001
2800,0.00042750724242068827,1.0,0.00964763481169939,0.9991050958633423,0.001
2850,0.00040945064392872155,1.0,0.007807358633726835,0.9992169141769409,0.001
2900,0.0003928003425244242,1.0,0.006418830715119839,0.9993287920951843,0.001
2950,0.00037723666173405945,1.0,0.005343559663742781,0.9994406700134277,0.001
3000,0.0003622250515036285,1.0,0.004488400183618069,0.9995525479316711,0.001
3050,0.00034839962609112263,1.0,0.0038093263283371925,0.9996644258499146,0.001
3100,0.00033535499824211,1.0,0.0032619305420666933,0.999776303768158,0.001
3150,0.00032297137659043074,1.0,0.0028202873654663563,0.9998881816864014,0.001
3200,0.0003112589765805751,1.0,0.002442380413413048,0.9998881816864014,0.001
3250,0.0003002957673743367,1.0,0.0021323543041944504,1.0,0.001
