epoch,step,train_acc,train_loss,val_acc,val_loss,sharpness,l2_norm,lr
0,10,0.16152919501133786,4.193970775604248,0.3327665603967411,3.5103052854537964,0.07788509917741133,269.36327266693115,0.001
100,1010,0.5689129818594104,1.9456130743026734,0.5048884165781083,2.6020165205001833,-0.20728190302154145,268.62941122055054,0.001
200,2010,0.6708829365079365,1.4672366857528687,0.5047821466524973,3.256142997741699,-0.12220347787696748,273.5905613899231,0.001
300,3010,0.6710955215419501,1.44677814245224,0.5054551895147007,3.3405576944351196,-0.14431396088438314,271.6718854904175,0.001
400,4010,0.6716978458049887,1.4402621626853942,0.5055260361317747,3.3019199848175047,0.02551528125220515,271.2524724006653,0.001
500,5010,0.671343537414966,1.4363609552383423,0.5060219624512929,3.251091718673706,-0.09494521509930255,270.6114602088928,0.001
600,6010,0.6715915532879818,1.4353405117988587,0.5058802692171449,3.1758399963378907,0.035022941477555,272.18107533454895,0.001
700,7010,0.6712372448979592,1.43299081325531,0.506163655685441,3.1218805074691773,0.06720366631640673,274.21397709846497,0.001
800,8010,0.671343537414966,1.4316271543502808,0.5063761955366631,3.0687745332717897,0.10010840111337048,276.83133268356323,0.001
900,9010,0.671733276643991,1.4306373834609984,0.5068012752391073,3.030464601516724,-0.02608153431309698,280.8078598976135,0.001
1000,10010,0.6718041383219955,1.4301873564720153,0.5070492383988665,3.002510499954224,-0.18100059390819878,285.93704867362976,0.001
1100,11010,0.6716624149659864,1.4297584652900697,0.5074743181013107,2.9729651689529417,0.06394582800266718,291.45476508140564,0.001
1200,12010,0.6716624149659864,1.428581666946411,0.508182784272051,2.9360721111297607,0.014854356408052174,296.2604832649231,0.001
1300,13010,0.6716978458049887,1.428201401233673,0.508182784272051,2.9215840101242065,-0.05339279632054055,302.29364037513733,0.001
1400,14010,0.6716978458049887,1.427564787864685,0.5086787105915692,2.9063332080841064,-0.13817783225183602,307.7131676673889,0.001
